	 0.001251 
	 0.563585 
	 0.193304 
	 0.808741 
	 0.585009 
	 0.479873 
	 0.350291 
	 0.895962 
	 0.822840 
	 0.746605 
	 0.174108 
	 0.858943 
	 0.710501 
	 0.513535 
	 0.303995 
	 0.014985 
	 0.091403 
	 0.364452 
	 0.147313 
	 0.165899 
	 0.988525 
	 0.445692 
	 0.119083 
	 0.004669 
	 0.008911 
	 0.377880 
	 0.531663 
	 0.571184 
	 0.601764 
	 0.607166 
	 0.166234 
	 0.663045 
	 0.450789 
	 0.352123 
	 0.057039 
	 0.607685 
	 0.783319 
	 0.802606 
	 0.519883 
	 0.301950 
	 0.875973 
	 0.726676 
	 0.955901 
	 0.925718 
	 0.539354 
	 0.142338 
	 0.462081 
	 0.235328 
	 0.862239 
	 0.209601 
	 0.779656 
	 0.843654 
	 0.996796 
	 0.999695 
	 0.611499 
	 0.392438 
	 0.266213 
	 0.297281 
	 0.840144 
	 0.023743 
	 0.375866 
	 0.092624 
	 0.677206 
	 0.056215 
	 0.008789 
	 0.918790 
	 0.275887 
	 0.272897 
	 0.587909 
	 0.691183 
	 0.837611 
	 0.726493 
	 0.484939 
	 0.205359 
	 0.743736 
	 0.468459 
	 0.457961 
	 0.949156 
	 0.744438 
	 0.108280 
	 0.599048 
	 0.385235 
	 0.735008 
	 0.608966 
	 0.572405 
	 0.361339 
	 0.151555 
	 0.225105 
	 0.425153 
	 0.802881 
	 0.517106 
	 0.989990 
	 0.751549 
	 0.345561 
	 0.168981 
	 0.657308 
	 0.491897 
	 0.063540 
	 0.699759 
	 0.504807 
	 0.147496 

 0.0-0.1 	 11
 0.1-0.2 	 147
 0.2-0.3 	 681
 0.3-0.4 	 1645
 0.4-0.5 	 2454
 0.5-0.6 	 2484
 0.6-0.7 	 1665
 0.7-0.8 	 714
 0.8-0.9 	 191
 0.9-1.0 	 8
